Channel,Name,RX MHz,TX MHz,Encode,Decode,Power,Bandwidth,Step kHz,Scan,Busy Lock,Squelch Mode,Signalling,Scrambler,DTMF PTT-ID,5-Tone PTT-ID
1,KYUSTND,145.72500,145.12500,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
2,PETROHN,145.75000,145.15000,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
3,PASTRIN,145.77500,145.17500,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
4,BOYANA,439.15000,431.55000,85.4,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
5,VITOSA-U,439.40000,431.80000,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
6,VITOSA-V,145.60000,145.00000,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
7,BALSHA,438.85000,431.25000,85.4,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
8,CHERNI-U,439.00000,431.40000,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
9,CHERNI-V,145.62500,145.02500,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
10,SOFIA-TU,438.10000,430.50000,91.5,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
11,PIROGO-U,439.57500,431.97500,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
12,PIROGO-V,145.35000,144.75000,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
13,SOFIA2,439.02500,431.42500,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
14,HDIMIT-U,438.77500,431.17500,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
15,HDIMIT-V,145.32500,144.72500,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
16,REDUTA,145.67500,145.07500,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
17,KOPITOTO,438.60000,431.00000,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
21,TODORKA,439.15000,431.55000,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
22,VRATSA,145.70000,145.10000,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
23,BEZBOG,145.78750,145.18750,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
24,ORELYAK,145.77500,145.17500,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
28,YABLANIT,439.60000,432.00000,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
29,ZLATICA,438.87500,431.27500,off,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
33,CHEPINCI,145.75000,145.15000,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
34,SNEJAN-U,438.65000,431.05000,91.5,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
35,SNEJAN-V,145.37500,144.77500,91.5,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
36,SMOLYAN,145.60000,145.00000,91.5,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
37,PLOVDIV,438.80000,431.20000,79.7,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
38,ZDRAVE-U,438.90000,431.30000,74.4,off,High,Wide,12.5,Include,Off,SQ,Off,Off,Off,Off
